id;longitude;latitude;healthcare;name;speciality;operator_type;operational_status;addr_full;addr_street;addr_housenumber;addr_postcode;addr_city;addr_province;addr_country
1;-58.44698237;-34.60755868;pharmacy;10 Esquinas;;;;;Avenida San Martin;1216;C1416CRN;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;Argentina
2;-58.35548728;-34.66019184;pharmacy;12 de Octubre;;private;active;;;;;;;Argentina
3;-62.26399404;-38.70630757;pharmacy;12 de Octubre;;private;active;;12 de Octubre;642;;;;Argentina
4;-65.20696507;-26.83480018;pharmacy;13 de Febrero;;private;active;;Las Piedras;576;T4000BRL;San Miguel de Tucumán;Tucumán;Argentina
5;-55.90965740;-27.39372887;pharmacy;15 de Diciembre I;;;;;Miguel Davila;5001;3300;Posadas;;Argentina
6;-58.95688657;-34.60580276;pharmacy;2 de Abril;;;;;2 de Abril;484;1748;General Rodriguez;;Argentina
7;-58.20803787;-32.20534630;pharmacy;2 de Abril;;;;;2 de Abril;1475;3283;San Jose;;Argentina
8;-55.92210017;-27.36815694;pharmacy;20 de Junio;;;;;Avenida Tambor de Tacuari;4760;3300;Posadas;;Argentina
9;-58.42492682;-34.81686344;clinic;22 Loma Verde;;public;;;;;1846;;;Argentina
10;-58.79672063;-34.64693485;pharmacy;24 horas;;;;;;;;;;Argentina
11;-58.78383581;-34.65080905;pharmacy;24 horas;;;;;;;;;;Argentina
12;-58.56126836;-34.68486891;pharmacy;24 horas;;;;;;;;;;Argentina
13;-64.79123583;-30.74240287;pharmacy;25 de Mayo;;;;;;;;;;Argentina
14;-62.26391902;-38.73055743;pharmacy;25 De Mayo;;;;;;;;;;Argentina
15;-58.99947317;-27.44001877;pharmacy;25 de Mayo;;;;;;;;;;Argentina
16;-58.51680187;-33.00945287;pharmacy;25 de Mayo;;;;;25 de Mayo;900;2820;Gualeguaychu;;Argentina
17;-57.55573117;-37.99260838;pharmacy;25 de Mayo;;;;;25 de Mayo;3611;7600;Mar del Plata;;Argentina
18;-58.35949056;-34.65813492;pharmacy;25 de Mayo;;;;;Avenida General Roca;;;;;Argentina
19;-60.71364672;-27.28902867;pharmacy;25 de Mayo;;;;;San Martin;570;3701;San Bernardo;;Argentina
20;-58.75895044;-34.55837334;clinic;29 De Septiembre;;public;;;;;1663;;;Argentina
21;-58.83021841;-27.46152287;doctor;327;;;;;Caa Guazu;327;3400;;;Argentina
22;-58.97020985;-27.43784467;doctor;4 D;dentist;;;;;;;;;Argentina
23;-58.71093965;-34.54140367;pharmacy;50+;;;;;Avenida Doctor Ricardo Balbin;;;;;Argentina
24;-58.43201992;-34.57684303;pharmacy;5100;;;;;;;;;;Argentina
25;-58.07067742;-29.18349436;doctor;561;;;;;España;561;3470;;;Argentina
26;-58.07405583;-29.18368111;doctor;582;;;;;Sarmiento;582;3470;Mercedes;;Argentina
27;-57.93786063;-34.92518034;pharmacy;8 y 64;;;;;Calle 64;648;;La Plata;;Argentina
28;-65.77243131;-28.46783858;pharmacy;9 de Julio;;;;;;;;;;Argentina
29;-61.08608292;-27.08555973;pharmacy;9 de Julio;;;;;;;;;;Argentina
30;-60.15199995;-32.62376865;pharmacy;9 de Julio;;;;;;;;;;Argentina
31;-58.98156825;-27.45589677;pharmacy;9 de Julio;;;;;;;;;;Argentina
32;-65.59337944;-27.35153613;pharmacy;9 de Julio;;;;;9 de Julio;584;;Conpcecion;;Argentina
33;-65.35637425;-27.26266608;pharmacy;9 de Julio;;;;;9 de Julio;310;4172;Simoca;;Argentina
34;-65.33686822;-26.92561651;pharmacy;9 de Julio;;;;;Avenida 9 de Julio;278;4128;Lules;;Argentina
35;-55.02077836;-26.80785345;pharmacy;9 de Julio;;;;;Avenida 9 de Julio;1666;3334;Puerto Rico;;Argentina
36;-55.02048885;-26.80795127;clinic;9 de Julio;;;;;Avenida 9 de Julio;1669;3334;Puerto Rico;;Argentina
37;-54.60639903;-26.40845073;pharmacy;9 de Julio;;;;;Avenida San Martin Este;1798;3380;Eldorado;;Argentina
38;-54.66334794;-26.40680637;pharmacy;9 de Julio;;;;;Avenida San Martin Oeste;2154;3380;Eldorado;;Argentina
39;-65.61411945;-27.43549966;pharmacy;9 de Julio;;;;;Avenida Sarmiento;1471;T4152ATI;Aguilares;;Argentina
40;-54.62877687;-26.40399994;pharmacy;9 de Julio IV;;;;;Avenida San Martin Este;336;3380;Eldorado;;Argentina
41;-64.27389924;-31.31749187;pharmacy;A Naselli;;;;;;;;;;Argentina
42;-58.45913814;-34.60475477;clinic;A y B Odontologia;dentist;;;;Avenida Juan Bautista Justo;;;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;Argentina
43;-61.03556075;-35.00192102;pharmacy;Abarrategui;;;;;;;;;;Argentina
44;-68.32860491;-34.61680468;pharmacy;Abbona;;;;;;;;;;Argentina
45;-58.39097156;-34.60321468;pharmacy;ABC;;;;;;;;;;Argentina
46;-58.37540612;-34.60682283;pharmacy;ABC;;;;;;;;;;Argentina
47;-58.46100622;-34.55680886;pharmacy;Abc;;;;;Avenida Cabildo;2675;;;;Argentina
48;-58.44278731;-34.61068446;pharmacy;ABC;;;;;Avenida Doctor Honorio Pueyrredon;801;C1405BAF;Ciudad Autónoma de Buenos Aires;Ciudad Autónoma de Buenos Aires;Argentina
49;-63.05816931;-31.41913996;pharmacy;ABC Pharma;;;;;Avenida Mariano Moreno;1619;2434;Arroyito;;Argentina
50;-66.31499207;-30.36004744;pharmacy;Abdala;;;;;;;;;;Argentina
51;-64.48450310;-31.11733068;pharmacy;Abdel Masih;;;;;;;;;;Argentina
52;-57.95361265;-34.93427923;pharmacy;Abella;;;;;Diagonal 74;2500;;La Plata;;Argentina
53;-64.49098785;-30.98143673;pharmacy;Abraham;;;;;;;;La Cumbre;;Argentina
54;-68.85629358;-32.89017646;doctor;Abrahan;dentist;;;;;;;;;Argentina
55;-68.04337143;-33.30134963;laboratory;Abramo Bioquimica;;;;;Dantis Abdon;;5594;Las Catitas;;Argentina
56;-59.11665671;-34.57249098;doctor;Abrazarte;;;;;;;;;;Argentina
57;-60.71656748;-31.63825825;pharmacy;Abregu;;;;;;;;;;Argentina
58;-60.50628095;-31.74936197;pharmacy;Abril;;;;;Almafuerte;890;3100;Parana;;Argentina
59;-59.10647152;-25.73106497;pharmacy;Abril;;;;;Avenida 9 de Julio;456;3606;Pirane;;Argentina
60;-55.92358578;-27.42656506;pharmacy;Abril;;;;;Avenida Cabo de Hornos;3833;3300;Posadas;;Argentina
61;-65.28597524;-26.81418673;pharmacy;Acassuso;;;;;Acasuso;27;T4107GMA;Yerba Buena;Tucumán;Argentina
62;-58.78359097;-34.44180906;pharmacy;Acceso Norte;;;;;;;;;;Argentina
63;-58.47410160;-34.71946597;clinic;ACCIP;;public;;;;;6073;;;Argentina
64;-64.52587576;-30.85807422;pharmacy;Aceto;;;;;;;;;;Argentina
65;-57.98439980;-34.93754532;pharmacy;Acheme;;;;;Avenida 44;2002;;;;Argentina
66;-58.59804036;-34.56308891;pharmacy;Achilli;;;;;General Juan Lavalle;;;;;Argentina
67;-58.44101211;-34.76996946;pharmacy;Achinelly;;;;;;;;;;Argentina
68;-58.42276278;-34.57771978;laboratory;ACNEBA;;;;;;;;;;Argentina
